loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_redeemed_dollars,active_months,first_activity,last_activity,recency_months,avg_flights_per_month,points_redemption_ratio,distance_per_flight,official_churn,behavioral_churn,churn,salary_imputed,tenure_months
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,37,54525,54525.0,1418,256,24,2017-01-01,2018-12-01,0.0,1.5416666666666667,0.02600641907381935,1473.6486486486488,0,0,0,83236.0,34
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,58,77487,77487.0,1971,356,24,2017-01-01,2018-12-01,0.0,2.4166666666666665,0.025436524836424175,1335.9827586206898,0,0,0,73455.0,33
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,18,24803,24803.0,374,67,24,2017-01-01,2018-12-01,0.0,0.75,0.015078821110349555,1377.9444444444443,1,0,1,73455.0,53
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,35,48432,48432.0,1291,233,24,2017-01-01,2018-12-01,0.0,1.4583333333333333,0.02665592996366039,1383.7714285714285,0,0,0,73455.0,70
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,37,55515,55515.0,0,0,24,2017-01-01,2018-12-01,0.0,1.5416666666666667,0.0,1500.4054054054054,0,0,0,103495.0,50
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,86,138596,138596.0,1222,220,24,2017-01-01,2018-12-01,0.0,3.5833333333333335,0.008816993275419203,1611.5813953488373,0,0,0,51124.0,79
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,40,61007,61007.0,1583,285,24,2017-01-01,2018-12-01,0.0,1.6666666666666667,0.02594784205091219,1525.175,0,0,0,73455.0,54
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,41,72849,72849.0,733,132,24,2017-01-01,2018-12-01,0.0,1.7083333333333333,0.01006190888001208,1776.8048780487804,0,0,0,100159.0,24
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,27,48968,48968.0,1516,274,24,2017-01-01,2018-12-01,0.0,1.125,0.030958993628492075,1813.6296296296296,0,0,0,100159.0,43
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,44,55849,55849.0,1683,303,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.03013482783935254,1269.2954545454545,0,0,0,100159.0,26
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,51,81965,81965.0,499,90,24,2017-01-01,2018-12-01,0.0,2.125,0.006087964375038126,1607.1568627450981,0,0,0,66444.0,45
